case,subject,session,1 eyes open,2 eyes closed,10 watch sport,20 code solo,30 code with AI,99 rest,TOTAL,kept_%,10 social media,10 game,20 shopping,30 market analysis,40 IQ test,10 low load (breathing),11 short instructional,12 long instructional,21 short entertainment,22 long entertainment
1,sub-P004,ses-S001,58,30,95.0,146.0,151.0,61.0,541,96.4,,,,,,,,,,
1,sub-P008,ses-S001,0,0,0.0,24.0,7.0,0.0,31,5.7,,,,,,,,,,
1,sub-P011,ses-S001,111,66,189.0,299.0,312.0,127.0,1104,97.5,,,,,,,,,,
2,sub-P001,ses-S001,5,0,,,,,5,2.0,0.0,,,,,,,,,
2,sub-P001,ses-S002,24,13,,,,,121,65.8,84.0,,,,,,,,,
2,sub-P002,ses-S001,58,32,,,,,180,98.4,90.0,,,,,,,,,
2,sub-P002,ses-S002,61,33,,,,,184,98.4,90.0,,,,,,,,,
2,sub-P003,ses-S001,48,31,,,,,161,86.6,82.0,,,,,,,,,
2,sub-P003,ses-S002,63,32,,,,,183,96.3,88.0,,,,,,,,,
2,sub-P004,ses-S001,42,25,,,,,114,63.0,47.0,,,,,,,,,
2,sub-P004,ses-S002,54,32,,,,,155,85.2,69.0,,,,,,,,,
2,sub-P006,ses-S001,60,33,,,,,182,97.8,89.0,,,,,,,,,
2,sub-P006,ses-S002,57,31,,,,,173,93.5,85.0,,,,,,,,,
2,sub-P007,ses-S001,59,32,,,,,181,98.9,90.0,,,,,,,,,
2,sub-P008,ses-S001,44,30,,,,,119,63.0,45.0,,,,,,,,,
2,sub-P008,ses-S002,60,32,,,,,182,97.8,90.0,,,,,,,,,
2,sub-P009,ses-S001,61,32,,,,,191,97.0,98.0,,,,,,,,,
2,sub-P009,ses-S002,51,31,,,,,165,88.2,83.0,,,,,,,,,
3,sub-P001,ses-S001,16,13,,,,47.0,337,61.1,,54.0,67.0,71.0,69.0,,,,,
3,sub-P002,ses-S001,18,27,,,,54.0,409,74.2,,71.0,75.0,88.0,76.0,,,,,
3,sub-P003,ses-S001,40,30,,,,52.0,420,75.1,,72.0,79.0,73.0,74.0,,,,,
3,sub-P004,ses-S001,41,29,,,,51.0,418,76.0,,78.0,67.0,76.0,76.0,,,,,
4,sub-P001,ses-S001,112,70,,,,,246,50.9,,,,,,64.0,,,,
4,sub-P002,ses-S001,119,92,,,,,302,98.4,,,,,,91.0,,,,
4,sub-P003,ses-S001,114,92,,,,,295,95.8,,,,,,89.0,,,,
4,sub-P004,ses-S001,119,94,,,,,304,98.7,,,,,,91.0,,,,
4,sub-P005,ses-S001,1,0,,,,,5,1.7,,,,,,4.0,,,,
4,sub-P006,ses-S001,84,60,,,,,236,97.9,,,,,,92.0,,,,
4,sub-P007,ses-S001,60,31,,,,,177,97.3,,,,,,86.0,,,,
4,sub-P010,ses-S001,117,90,,,,,297,98.0,,,,,,90.0,,,,
5,sub-P001,ses-S001,0,0,,,,1.0,1,0.2,,,,,,,0.0,0.0,0.0,0.0
5,sub-P002,ses-S001,33,31,,,,94.0,485,96.6,,,,,,,35.0,147.0,14.0,131.0
5,sub-P003,ses-S001,59,36,,,,98.0,538,95.9,,,,,,,34.0,152.0,12.0,147.0
5,sub-P004,ses-S001,53,29,,,,64.0,453,83.6,,,,,,,31.0,125.0,12.0,139.0
